source_center,destination_center,route_type,delay_ratio,avg_distance,pct_sla_breach,trip_count
IND000000AAL,IND411033AAA,Carting,2.9037076555138075,14.052435135135136,0.9459459459459459,37
IND000000AAQ,IND700028AAB,Carting,5.416666666666667,6.950349999999999,1.0,4
IND000000AAS,IND783370AAC,FTL,2.58045318610536,20.730811111111112,1.0,18
IND000000AAZ,IND444203AAA,FTL,4.059095860566448,36.435566666666666,1.0,3
IND000000AAZ,IND444303AAA,FTL,1.5107890499194847,31.235633333333336,0.6666666666666666,3
IND000000ABA,IND683565AAA,Carting,1.1656026160074744,9.051107692307692,0.3076923076923077,13
IND000000ABD,IND562132AAA,FTL,1.5840831675646816,37.15083680555556,0.7638888888888888,144
IND000000ABG,IND501359AAF,Carting,5.282650581126191,9.327668292682926,0.8536585365853658,41
IND000000ACA,IND140406AAA,FTL,2.1973684210526314,17.194283333333335,1.0,6
IND000000ACA,IND142001AAB,FTL,1.5977845450790094,20.025850000000002,0.9166666666666666,36
IND000000ACA,IND142401AAA,FTL,2.9186329499748616,15.799879166666665,0.9166666666666666,24
IND000000ACA,IND143001AAA,FTL,1.6914098972922502,22.176085714285712,1.0,7
IND000000ACA,IND144001AAB,FTL,1.7701984227890255,23.34307843137255,0.9803921568627451,51
IND000000ACA,IND144514AAA,FTL,1.8824946005230385,32.87145833333333,0.5416666666666666,24
IND000000ACA,IND147301AAA,FTL,2.2471046898291482,20.697216666666666,1.0,6
IND000000ACA,IND152026AAA,FTL,1.5602757769774576,22.08317142857143,0.8571428571428571,7
IND000000ACA,IND160002AAC,Carting,1.5159632034632033,13.086070000000001,0.8,10
IND000000ACA,IND160002AAC,FTL,2.0597488432572337,22.075015699658703,0.9249146757679181,293
IND000000ACB,IND000000AEL,Carting,2.3249719128555446,10.991263768115942,0.8333333333333334,138
IND000000ACB,IND110024AAA,Carting,2.163602102685565,11.905825,0.9166666666666666,36
IND000000ACB,IND110030AAD,Carting,1.9521149336656987,10.989973333333333,0.7111111111111111,135
IND000000ACB,IND110037AAK,Carting,2.8718524408443087,10.366716455696203,0.759493670886076,158
IND000000ACB,IND110043AAA,Carting,2.150333725147158,10.241461194029851,0.8208955223880597,67
IND000000ACB,IND110043AAC,Carting,2.5720598546811138,11.875473333333334,0.9777777777777777,45
IND000000ACB,IND110052AAA,Carting,1.892203548085901,9.61742142857143,0.7857142857142857,14
IND000000ACB,IND110064AAA,Carting,1.9459178675130064,10.574109790209791,0.6783216783216783,286
IND000000ACB,IND110085AAB,Carting,2.506657242409424,10.155814545454545,0.7212121212121212,165
IND000000ACB,IND110092AAC,Carting,2.043092031193535,10.556851428571429,0.5714285714285714,35
IND000000ACB,IND110095AAB,Carting,2.0525944136609087,12.252057518796994,0.556390977443609,266
IND000000ACB,IND121002AAB,Carting,2.69349849943038,11.768668035190617,0.8211143695014663,341
IND000000ACB,IND121004AAB,Carting,2.7427111503582093,10.872782162162162,0.8540540540540541,185
IND000000ACB,IND122001AAA,Carting,3.3219060561219083,10.129595535714286,0.625,224
IND000000ACB,IND122015AAC,Carting,3.1893939393939394,9.3819375,0.875,8
IND000000ACB,IND124103AAA,FTL,1.9432157778260135,24.58111724137931,0.896551724137931,29
IND000000ACB,IND124112AAA,FTL,2.653326394653936,23.746257142857143,0.8857142857142857,35
IND000000ACB,IND125001AAA,FTL,1.9930615995918324,23.542546666666667,0.9523809523809523,105
IND000000ACB,IND125005AAA,FTL,1.8222185583635164,23.511335714285714,0.9642857142857143,28
IND000000ACB,IND125033AAA,FTL,2.0715083315219434,24.189008333333334,0.6666666666666666,12
IND000000ACB,IND127021AAA,FTL,3.2559256100559346,24.630959999999998,0.9,10
IND000000ACB,IND131028AAB,Carting,1.6606624565473256,16.701938731443995,0.41295546558704455,741
IND000000ACB,IND160002AAC,FTL,2.2315493247038893,26.462089176829267,0.961890243902439,656
IND000000ACB,IND201001AAC,Carting,1.3706147591290503,28.434424999999997,0.8333333333333334,36
IND000000ACB,IND201007AAA,Carting,1.5939326892613241,11.91163492063492,0.5079365079365079,63
IND000000ACB,IND201301AAF,Carting,1.8525155102229907,11.327316129032258,0.5645161290322581,62
IND000000ACB,IND201301AAM,Carting,1.9573271662869296,26.31258585526316,0.8223684210526315,304
IND000000ACB,IND209304AAA,FTL,2.153045804564371,29.463739033457248,0.8736059479553904,269
IND000000ACB,IND282002AAD,FTL,1.9503725710967228,24.153019444444443,0.9305555555555556,72
IND000000ACB,IND301001AAB,FTL,1.156838542032541,25.788349999999998,0.25,24
IND000000ACB,IND301705AAA,FTL,3.705882352941176,20.9742,1.0,3
IND000000ACB,IND302014AAA,FTL,1.727502598688819,26.58641888888889,0.8740740740740741,270
IND000000ACB,IND302022AAD,FTL,1.639822350494297,27.040891666666667,0.8166666666666667,180
IND000000ACB,IND328001AAA,FTL,1.7462044366894278,26.427885999999997,0.76,50
IND000000ACB,IND382430AAB,FTL,2.0204622777926704,27.313262657091563,0.9048473967684022,557
IND000000ACB,IND390022AAA,FTL,1.7423633675594736,27.837277922077924,0.8415584415584415,385
IND000000ACB,IND411033AAA,FTL,1.6274779690080632,28.022094017857142,0.7294642857142857,1120
IND000000ACB,IND421302AAG,FTL,1.9036158213373993,28.582550030921457,0.8855905998763142,1617
IND000000ACB,IND462022AAA,FTL,1.5728623770128256,30.795476637554582,0.7205240174672489,458
IND000000ACB,IND474003AAA,FTL,2.076268568119091,54.51066153846154,0.6923076923076923,13
IND000000ACB,IND501359AAE,FTL,1.9646090310444932,30.298965588773644,0.8206223306894448,1639
IND000000ACB,IND521225AAB,FTL,2.2410170579628277,32.678200728862976,0.7857142857142857,686
IND000000ACB,IND562132AAA,FTL,1.7764985519176824,30.352580566720256,0.8056672025723473,4976
IND000000ACB,IND600056AAB,FTL,1.8333322977212203,32.5731760591133,0.8413793103448276,1015
IND000000ACB,IND712311AAA,FTL,2.1226883224653252,26.755445772187283,0.8920335429769392,2862
IND000000ACB,IND751002AAB,FTL,1.7586639101822918,37.534320750293084,0.798358733880422,853
IND000000ACB,IND821115AAB,FTL,1.8538458353874703,29.029817894736844,0.8781954887218045,665
IND000000ACB,IND834002AAB,FTL,1.7667290936688878,29.893967764060356,0.8381344307270233,729
IND000000ACB,IND842001AAA,FTL,1.8860546915462424,31.289402916666667,0.9055555555555556,720
IND000000ACK,IND501359AAF,Carting,2.925590373497404,9.712759574468086,0.9787234042553191,94
IND000000ACN,IND501359AAF,Carting,2.8634087062855444,11.205409375,0.96875,32
IND000000ACT,IND000000ACB,Carting,2.571661914484566,9.542760199004976,0.7860696517412935,201
IND000000ACT,IND000000ACB,FTL,1.3702126025010959,23.002635398230087,0.48672566371681414,113
IND000000ACT,IND131028AAB,Carting,1.903794909204874,10.203048,0.6628571428571428,175
IND000000ACT,IND160002AAC,FTL,2.0121019201399792,23.66406761904762,0.9666666666666667,210
IND000000ADM,IND683511AAA,Carting,5.43939393939394,8.149833333333333,1.0,3
IND000000ADV,IND600044AAC,Carting,1.5749430047530537,12.975490277777778,0.9027777777777778,72
