source_center,destination_center,median_delay_ratio,trip_count,pct_delayed,avg_distance,route_type_dominant,peak_delay_time
IND212402AAA,IND211002AAB,4.285714285714286,65,1.0,10.474952307692307,Carting,Morning
IND462001AAA,IND462022AAA,4.0,56,0.9821428571428571,7.800762499999999,Carting,Morning
IND712311AAA,IND700065AAA,3.4375,58,1.0,10.659972413793104,Carting,Afternoon
IND851127AAA,IND842001AAA,3.414285714285714,80,1.0,22.41364375,FTL,Night
IND785690AAB,IND785682AAA,3.380952380952381,70,0.9714285714285714,12.018674285714285,Carting,Night
IND421302AAR,IND421004AAA,3.2222222222222223,53,0.8867924528301887,7.256366037735849,Carting,Night
IND712310AAE,IND712124AAA,3.1416666666666666,60,0.9833333333333333,9.586016666666668,Carting,Morning
IND401104AAA,IND400072AAB,3.0,59,0.9830508474576272,10.761625423728812,Carting,Night
IND852111AAA,IND854326AAB,2.9265873015873014,84,0.9523809523809523,27.75846666666667,FTL,Night
IND792130AAB,IND786001AAB,2.9,86,0.9651162790697675,12.125327906976743,Carting,Morning
IND852139AAB,IND854326AAB,2.80625,84,0.9761904761904762,26.506589285714284,FTL,Afternoon
IND400072AAB,IND400015AAA,2.7823529411764705,118,0.9067796610169492,10.251518644067797,Carting,Morning
IND742303AAB,IND741165AAB,2.7817460317460316,72,1.0,13.326566666666666,Carting,Evening
IND271210AAA,IND271001AAA,2.75,72,0.9305555555555556,11.222979166666667,Carting,Night
IND380006AAB,IND382430AAB,2.732142857142857,54,1.0,9.071446296296296,Carting,Night
IND834002AAB,IND827013AAA,2.7083333333333335,169,0.8106508875739645,13.683265088757395,Carting,Afternoon
IND712311AAA,IND700088AAA,2.6666666666666665,83,0.8795180722891566,11.36132530120482,Carting,Afternoon
IND400011AAA,IND400072AAD,2.6666666666666665,107,0.9626168224299065,10.058820560747662,Carting,Afternoon
IND845305AAA,IND842001AAA,2.6666666666666665,113,0.9469026548672567,30.41160353982301,FTL,Night
IND585307AAB,IND585104AAA,2.6666666666666665,107,0.9719626168224299,12.011806542056075,Carting,Night
IND121004AAB,IND110037AAM,2.6333333333333333,110,0.990909090909091,9.662382727272728,Carting,Morning
IND400072AAB,IND401104AAA,2.625,155,0.9225806451612903,9.697074838709677,Carting,Afternoon
IND582101AAB,IND580028AAA,2.6,52,1.0,21.498109615384614,FTL,Morning
IND245304AAA,IND201007AAA,2.5934065934065935,52,0.9423076923076923,8.615076923076924,Carting,Night
IND781018AAB,IND788026AAC,2.588235294117647,91,0.967032967032967,44.96817802197803,FTL,Afternoon
IND400015AAA,IND400072AAB,2.5833333333333335,71,0.9436619718309859,9.79733661971831,Carting,Morning
IND741123AAB,IND741126AAB,2.5555555555555554,53,0.9811320754716981,14.817300000000001,Carting,Night
IND712311AAA,IND742101AAC,2.5486111111111107,64,0.984375,30.83760625,FTL,Morning
IND221706AAA,IND273014AAB,2.533333333333333,56,1.0,29.56868928571429,FTL,Afternoon
IND741126AAB,IND741156AAA,2.5,60,0.8,7.975873333333333,Carting,Night
IND400072AAB,IND421302AAG,2.5,180,0.95,9.930990555555555,Carting,Afternoon
IND401209AAA,IND401104AAA,2.4722222222222223,58,0.9827586206896551,11.343925862068964,Carting,Night
IND400102AAC,IND421302AAG,2.4545454545454546,81,0.9259259259259259,11.771749382716049,Carting,Afternoon
IND410206AAB,IND000000AFT,2.4450549450549453,72,0.9305555555555556,10.529205555555556,Carting,Morning
IND788026AAC,IND781018AAB,2.44,149,0.9463087248322147,40.64914630872484,FTL,Evening
IND712103AAA,IND712310AAE,2.430769230769231,76,1.0,10.698597368421053,Carting,Morning
IND401209AAB,IND421302AAH,2.4285714285714284,59,0.9661016949152542,11.607698305084746,Carting,Evening
IND516115AAA,IND517501AAB,2.4285714285714284,136,0.9926470588235294,11.198588235294118,Carting,Morning
IND507303AAA,IND507002AAA,2.41875,72,1.0,19.435845833333335,FTL,Afternoon
IND832109AAB,IND834002AAB,2.41875,106,1.0,24.936546226415096,FTL,Night
IND516101AAA,IND516115AAA,2.4017857142857144,70,0.9857142857142858,9.170305714285716,Carting,Morning
IND421302AAG,IND401104AAA,2.4,155,0.9548387096774194,14.209333548387097,Carting,Afternoon
IND210501AAB,IND209304AAA,2.4,141,0.8581560283687943,13.700030496453902,Carting,Morning
IND741156AAA,IND742102AAB,2.4,65,0.9846153846153847,8.910695384615385,Carting,Night
IND583101AAA,IND583201AAA,2.3693181818181817,54,1.0,21.38842777777778,FTL,Night
IND400072AAB,IND000000AFT,2.3636363636363638,134,0.9776119402985075,11.322281343283581,Carting,Morning
IND211002AAB,IND485001AAC,2.359210526315789,78,1.0,30.944733333333332,FTL,Morning
IND712311AAA,IND781018AAB,2.3529411764705883,203,0.9901477832512315,44.46697684729064,FTL,Night
IND834002AAB,IND832109AAB,2.3508771929824563,70,0.9857142857142858,23.984374285714285,FTL,Evening
IND600008AAC,IND600056AAB,2.3333333333333335,71,0.8873239436619719,9.567602816901408,Carting,Night
